rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
2,7,1,2,2,"{'colsample_bytree': 0.6, 'subsample': 0.6}"
2,15,10,2,2,"{'colsample_bytree': 0.6, 'subsample': 0.7}"
1,11,14,1,1,"{'colsample_bytree': 0.6, 'subsample': 0.8}"
15,1,8,14,15,"{'colsample_bytree': 0.6, 'subsample': 0.9}"
2,16,7,2,2,"{'colsample_bytree': 0.7, 'subsample': 0.6}"
2,14,5,2,2,"{'colsample_bytree': 0.7, 'subsample': 0.7}"
11,4,9,2,11,"{'colsample_bytree': 0.7, 'subsample': 0.8}"
15,3,13,14,15,"{'colsample_bytree': 0.7, 'subsample': 0.9}"
14,6,2,14,14,"{'colsample_bytree': 0.8, 'subsample': 0.6}"
2,8,3,2,2,"{'colsample_bytree': 0.8, 'subsample': 0.7}"
2,5,11,2,2,"{'colsample_bytree': 0.8, 'subsample': 0.8}"
11,2,12,2,11,"{'colsample_bytree': 0.8, 'subsample': 0.9}"
2,12,6,2,2,"{'colsample_bytree': 0.9, 'subsample': 0.6}"
2,9,4,2,2,"{'colsample_bytree': 0.9, 'subsample': 0.7}"
11,13,16,2,11,"{'colsample_bytree': 0.9, 'subsample': 0.8}"
2,10,15,2,2,"{'colsample_bytree': 0.9, 'subsample': 0.9}"
