rank_test_f1,rank_test_roc_auc,rank_test_average_precision,rank_test_accuracy,rank_test_balanced_accuracy,params
19,33,25,19,19,"{'reg_alpha': 0, 'reg_lambda': 0}"
14,6,12,3,14,"{'reg_alpha': 0, 'reg_lambda': 0.01}"
14,26,29,3,14,"{'reg_alpha': 0, 'reg_lambda': 0.02}"
19,1,2,19,19,"{'reg_alpha': 0, 'reg_lambda': 0.05}"
3,24,24,3,3,"{'reg_alpha': 0, 'reg_lambda': 0.1}"
19,23,23,19,19,"{'reg_alpha': 0, 'reg_lambda': 0.5}"
58,18,10,31,58,"{'reg_alpha': 0, 'reg_lambda': 1}"
77,37,37,70,77,"{'reg_alpha': 0, 'reg_lambda': 2}"
58,38,39,31,58,"{'reg_alpha': 0, 'reg_lambda': 3}"
14,29,28,3,14,"{'reg_alpha': 0.01, 'reg_lambda': 0}"
19,27,27,19,19,"{'reg_alpha': 0.01, 'reg_lambda': 0.01}"
14,31,33,3,14,"{'reg_alpha': 0.01, 'reg_lambda': 0.02}"
19,3,4,19,19,"{'reg_alpha': 0.01, 'reg_lambda': 0.05}"
77,28,32,70,77,"{'reg_alpha': 0.01, 'reg_lambda': 0.1}"
19,8,7,19,19,"{'reg_alpha': 0.01, 'reg_lambda': 0.5}"
58,20,14,31,58,"{'reg_alpha': 0.01, 'reg_lambda': 1}"
77,34,34,70,77,"{'reg_alpha': 0.01, 'reg_lambda': 2}"
58,38,38,31,58,"{'reg_alpha': 0.01, 'reg_lambda': 3}"
19,31,31,19,19,"{'reg_alpha': 0.02, 'reg_lambda': 0}"
14,30,30,3,14,"{'reg_alpha': 0.02, 'reg_lambda': 0.01}"
19,1,3,19,19,"{'reg_alpha': 0.02, 'reg_lambda': 0.02}"
70,5,20,70,70,"{'reg_alpha': 0.02, 'reg_lambda': 0.05}"
8,11,9,3,8,"{'reg_alpha': 0.02, 'reg_lambda': 0.1}"
31,7,1,31,31,"{'reg_alpha': 0.02, 'reg_lambda': 0.5}"
58,18,10,31,58,"{'reg_alpha': 0.02, 'reg_lambda': 1}"
58,36,36,31,58,"{'reg_alpha': 0.02, 'reg_lambda': 2}"
58,38,39,31,58,"{'reg_alpha': 0.02, 'reg_lambda': 3}"
19,4,5,19,19,"{'reg_alpha': 0.05, 'reg_lambda': 0}"
77,22,21,70,77,"{'reg_alpha': 0.05, 'reg_lambda': 0.01}"
8,10,8,3,8,"{'reg_alpha': 0.05, 'reg_lambda': 0.02}"
8,12,13,3,8,"{'reg_alpha': 0.05, 'reg_lambda': 0.05}"
3,17,18,3,3,"{'reg_alpha': 0.05, 'reg_lambda': 0.1}"
70,16,22,70,70,"{'reg_alpha': 0.05, 'reg_lambda': 0.5}"
77,41,41,70,77,"{'reg_alpha': 0.05, 'reg_lambda': 1}"
1,77,76,1,1,"{'reg_alpha': 0.05, 'reg_lambda': 2}"
70,45,47,70,70,"{'reg_alpha': 0.05, 'reg_lambda': 3}"
8,15,19,3,8,"{'reg_alpha': 0.1, 'reg_lambda': 0}"
8,14,16,3,8,"{'reg_alpha': 0.1, 'reg_lambda': 0.01}"
8,13,17,3,8,"{'reg_alpha': 0.1, 'reg_lambda': 0.02}"
31,9,6,31,31,"{'reg_alpha': 0.1, 'reg_lambda': 0.05}"
2,25,26,1,2,"{'reg_alpha': 0.1, 'reg_lambda': 0.1}"
31,21,15,31,31,"{'reg_alpha': 0.1, 'reg_lambda': 0.5}"
70,42,42,70,70,"{'reg_alpha': 0.1, 'reg_lambda': 1}"
58,35,35,31,58,"{'reg_alpha': 0.1, 'reg_lambda': 2}"
70,43,44,70,70,"{'reg_alpha': 0.1, 'reg_lambda': 3}"
58,44,45,31,58,"{'reg_alpha': 0.5, 'reg_lambda': 0}"
58,48,49,31,58,"{'reg_alpha': 0.5, 'reg_lambda': 0.01}"
19,80,46,19,19,"{'reg_alpha': 0.5, 'reg_lambda': 0.02}"
58,49,48,31,58,"{'reg_alpha': 0.5, 'reg_lambda': 0.05}"
19,79,43,19,19,"{'reg_alpha': 0.5, 'reg_lambda': 0.1}"
58,50,50,31,58,"{'reg_alpha': 0.5, 'reg_lambda': 0.5}"
19,51,51,19,19,"{'reg_alpha': 0.5, 'reg_lambda': 1}"
31,57,58,31,31,"{'reg_alpha': 0.5, 'reg_lambda': 2}"
31,57,57,31,31,"{'reg_alpha': 0.5, 'reg_lambda': 3}"
31,55,56,31,31,"{'reg_alpha': 1, 'reg_lambda': 0}"
31,53,54,31,31,"{'reg_alpha': 1, 'reg_lambda': 0.01}"
31,55,55,31,31,"{'reg_alpha': 1, 'reg_lambda': 0.02}"
31,53,53,31,31,"{'reg_alpha': 1, 'reg_lambda': 0.05}"
31,52,52,31,31,"{'reg_alpha': 1, 'reg_lambda': 0.1}"
31,75,69,31,31,"{'reg_alpha': 1, 'reg_lambda': 0.5}"
31,67,68,31,31,"{'reg_alpha': 1, 'reg_lambda': 1}"
31,60,61,31,31,"{'reg_alpha': 1, 'reg_lambda': 2}"
31,66,62,31,31,"{'reg_alpha': 1, 'reg_lambda': 3}"
31,72,73,31,31,"{'reg_alpha': 2, 'reg_lambda': 0}"
70,77,78,70,70,"{'reg_alpha': 2, 'reg_lambda': 0.01}"
31,69,66,31,31,"{'reg_alpha': 2, 'reg_lambda': 0.02}"
31,73,74,31,31,"{'reg_alpha': 2, 'reg_lambda': 0.05}"
31,73,74,31,31,"{'reg_alpha': 2, 'reg_lambda': 0.1}"
3,47,80,3,3,"{'reg_alpha': 2, 'reg_lambda': 0.5}"
31,69,71,31,31,"{'reg_alpha': 2, 'reg_lambda': 1}"
31,62,67,31,31,"{'reg_alpha': 2, 'reg_lambda': 2}"
31,60,60,31,31,"{'reg_alpha': 2, 'reg_lambda': 3}"
31,69,71,31,31,"{'reg_alpha': 3, 'reg_lambda': 0}"
31,62,63,31,31,"{'reg_alpha': 3, 'reg_lambda': 0.01}"
31,62,63,31,31,"{'reg_alpha': 3, 'reg_lambda': 0.02}"
70,75,77,70,70,"{'reg_alpha': 3, 'reg_lambda': 0.05}"
3,46,79,3,3,"{'reg_alpha': 3, 'reg_lambda': 0.1}"
31,62,65,31,31,"{'reg_alpha': 3, 'reg_lambda': 0.5}"
31,67,70,31,31,"{'reg_alpha': 3, 'reg_lambda': 1}"
3,81,81,3,3,"{'reg_alpha': 3, 'reg_lambda': 2}"
31,57,59,31,31,"{'reg_alpha': 3, 'reg_lambda': 3}"
